ID,ID Centro de Distribución,ID Solicitante,ID Laboratorio,Nombre,Nombre Generado,Características,ID Forma Farmacéutica,Cantidad,ID Medida Peso/Tamaño,ID Tipo Empaque,Talla/Capacidad,Calibre/Grosor/Diámetro,Descripción Oferta Especial,Vencimiento Registro Sanitario,Número Registro Sanitario,Código de Barras,ID Tipo de Impuesto,ID Clasificación,Es Controlado,Es Refrigerado,Uso Hospitalario,Requiere Receta Retenida,Uso Crónico,Para Farmacias Propias,Para Farmacias Independientes,Para Uso Institucional/Hospitalario,Es Ruteado,Para Venta al por Mayor,Para Autoservicio,Es Borrador,Activo
63,,,,GUDSLIP Travel Pack x 2 uds,"GUDSLIP TRAVEL PACK X 2 UDS TRAVEL PACK O SAMPLE PACK. 
CONTIENE 1 UNIDAD DE NOSE STRIP GUDSLIP + 1 UNIDAD DE MOUTH TAPE GUDSLIP. 2 OTROS (RUTEO) DOYPACK","Travel Pack o Sample Pack. 
Contiene 1 unidad de Nose strip Gudslip + 1 unidad de Mouth tape Gudslip.",,2,,,,,,2027-11-30,40.15281/CAT,8.43662E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
64,,,,TACO ANDADOR PAR ,RENTA MEDICA/ ALEJANDRO CASTILLO  TACO ANDADOR PAR  TACO ANDADOR PAR  1 BARRA CAJA,,,1,,,,,,2025-09-11,NO APLICA,8.45985E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,
65,,,,Luminous Skin Glow Serum,BDF LUMINOUS SKIN GLOW SERUM 30 SOLUCION BOTE,,,30,,,,,,2030-09-22,PT-132887,4.006E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
66,,,,Colpoben Plus ,"COLPOBEN PLUS  CREMA VAGINAL 
TUBO DE 20GRAMOS 
3 APLICADORES  14 CM X 4.5 CM X 4 CM 1G CREMA VAGINAL CAJA TUBO 20 GRAMOS","Crema Vaginal 
Tubo de 20gramos 
3 aplicadores ",,1,,,tubo 20 gramos,14 cm x 4.5 cm x 4 cm,,2026-08-18,PF-59895 - 2021 ,7 401156 602415,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
67,,,,VESILIFE 5 MG 30 TAB,VESILIFE 5 MG 30 TAB TABLETA RECUBIERTA  AYUDA A LA VEGIJA URINARIA HIPERACTIVA 1 TABLETA RECUBIERTA CAJA,TABLETA RECUBIERTA  AYUDA A LA VEGIJA URINARIA HIPERACTIVA,,1,,,,,,2029-06-20,PF-65411,8.90416E+12,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
68,,,,HYSEAC GEL NETTOYANT FP,URIAGE  HYSEAC GEL NETTOYANT FP GEL PURIFICANTE ANTIIMPERFECCIONES  500ML GEL CAJA 1,GEL PURIFICANTE ANTIIMPERFECCIONES ,,500,,,1,,,2030-06-06,PT-130034,3.66143E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
69,,,,APPLE CIDER VINEGAR GUMMY,APPLE CIDER VINEGAR GUMMY GOMITAS VITAMINAS AYUDA AL CABELLO Y LA PIEL  1 GOMITAS BOTE,GOMITAS VITAMINAS AYUDA AL CABELLO Y LA PIEL ,,1,,,,,,2025-10-07,PF-65524,8.90422E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
70,,,,COAPROVEL RM 150-12.5MG TABCO BL28 M36 XB,CTRL COAPROVEL RM 150-12.5MG TABCO BL28 M36 XB 28UNIDAD TABLETA CAJA,,,28,,,,,,2030-07-07,PF-22505-2025,7.70626E+12,,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
71,,,,MOMENTIX 10MG,MOMENTIX 10MG TADALAFILO 10MG X 30 TABLETAS RECUBIERTAS 30DOSIS TABLETA RECUBIERTA CAJA 10MG,TADALAFILO 10MG X 30 TABLETAS RECUBIERTAS,,30,,,10MG ,,,2028-07-24,PF-63191 - 2023,7 401156 612414,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
72,,,,VASO PARA MUESTRA ESTERIL  02 ONZ CON PALETA ,RENTA MEDICA / ALEJANDRO CASTILLO  VASO PARA MUESTRA ESTERIL  02 CON PALETA  VASO PARA MUESTRA ESTERIL  02 CON PALETA  1 BARRA BOLSA, ,,1,,,,,,2030-07-28,PMQ-19437,1.00488E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,
73,,,,TACO 4 APOYOS *4 UNIDADES (SET),RENTA MEDICA / ALEJANDRO CASTILLO  TACO 4 APOYOS *4 UNIDADES (SET) TACO 4 APOYOS *4 UNIDADES (SET) 1 BARRA CAJA,TACO 4 APOYOS *4 UNIDADES (SET),,1,,,,,,2025-09-11,NO APLICA,8.45968E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,
74,,,,PLEOBRAD 10MG,PLEOBRAD 10MG TRATAMIENTO DE SINTOMAS DE ALZHAIMER 26UNIDAD COMPRIMIDO BLISTER 30,Tratamiento de sintomas de Alzhaimer,,26,,,30,,,2028-08-29,PF-63811-2023,7.40108E+12,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
75,,,,AC-NORM TOTAL CONTROL CREAM FREZYDERM,FREZYDERM (GRECIA) AC-NORM TOTAL CONTROL CREAM FREZYDERM 1ML CREMA FACIAL CAJA,,,1,,,,,,2030-02-11,PT-127920,5.20289E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
76,,,,CURCUMIN & GINGER,"CURCUMIN & GINGER GOMITAS  ANTIOXIDANTES, ESTIMULA EL APETITO 1 GOMITAS BOTE","GOMITAS  ANTIOXIDANTES, ESTIMULA EL APETITO",,1,,,,,,2029-07-18,PFD-65501,8.90422E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
77,,,,AGE LIFT FLUIDE JR LISS FERMETE FP,URIAGE AGE LIFT FLUIDE JR LISS FERMETE FP CREMA DE DIA  40ML CREMA FACIAL CAJA 1,CREMA DE DIA ,,40,,,1,,,2030-05-27,PT-129747,3.66143E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
78,,,,AVENE ROSAMED AR 30ML,"AVENE ROSAMED AR 30ML REDUCE LA APARIENCIA DE ROJECES INSTALADAS.
CALMA DE INMEDIATO LA SENSACIÓN DE ARDOR.
CONTIENE ANGIOPAUSINE™ 6%, ACTIVO PATENTADO INNOVADOR.
 30ML CREMA CAJA","Reduce la apariencia de rojeces instaladas.
Calma de inmediato la sensación de ardor.
Contiene Angiopausine™ 6%, activo patentado innovador.
",,30,,,,,,2029-05-17,PT-1235333,3.28277E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
79,,,,Pañal Huggies active sec XXXL,KIMBERLY CLARK GUATEMALA PAÑAL HUGGIES ACTIVE SEC XXXL PAÑALES PARA NIÑOS 1KG OTROS (RUTEO) BOLSA XXXL,pañales para niños,,1,,,XXXL,,,2030-10-02,sin registro,7.44101E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
80,,,,Gudslip Mouth Tape negra sobre x 30 Uds ,GUDSLIP MOUTH TAPE NEGRA SOBRE X 30 UDS  CINTA BUCAL MICROPOROSA. 30G OTROS (RUTEO) DOYPACK,Cinta bucal microporosa.,,30,,,,,,2027-11-30,40.15281/CAT,8.43662E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
81,,,,APAXIBAN MSN 2.5 MG,APAXIBAN MSN 2.5 MG TABLETA RECUBIERTA ANTICUAGULANTE 1 TABLETA CAJA,TABLETA RECUBIERTA ANTICUAGULANTE,,1,,,,,,2029-10-04,PT65955,8.90416E+12,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
82,,,,Tripacks Levusol Cereza,"TRIPACKS LEVUSOL CEREZA SUEROS ORALES PARA DIABÉTICOS, PRESENTACIÓN FRASCO DE LEVUSOL CONTIENE 475ML DE SOLUCIÓN 475ML LIQUIDO FRASCO (PROMO TRIPACKS LEVUSOL CEREZA Q51.95)","Sueros Orales para diabéticos, presentación frasco de Levusol contiene 475ml de solución",,475,,,,,PROMO Tripacks Levusol Cereza Q51.95,2027-08-23,PF-39438-2022,7.40111E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,
83,,,,Photoderm pediatrics lait SPF50+ ,PHOTODERM PEDIATRICS LAIT SPF50+  PROTECCIÓN SOLAR DE ALTA TECNOLOGÍA DISEÑADA PARA PROTEGER LAS CAPACIDADES DE AUTODEFENSA DE LA PIEL DE LOS NIÑOS  1ML CREMA BOTE 200ML,PROTECCIÓN SOLAR DE ALTA TECNOLOGÍA DISEÑADA PARA PROTEGER LAS CAPACIDADES DE AUTODEFENSA DE LA PIEL DE LOS NIÑOS ,,1,,,200ml,,,2029-12-04,PT-127306,3.70113E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
84,,,,STAROLMI 20 MG 30 TAB,STAROLMI 20 MG 30 TAB TABLETAS RECUBIERTAS PARA LA PRESION ARTERIAL 1 TABLETA RECUBIERTA CAJA,TABLETAS RECUBIERTAS PARA LA PRESION ARTERIAL,,1,,,,,,2029-06-11,PF 65380,8.90416E+12,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
85,,,,Ertavanz 1g Polvo Liofilizado para solución inyectable IV/IM,HOSPI ERTAVANZ 1G POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE IV/IM 1 POLVO CAJA,,,1,,,,,,2027-08-17,PF-55426,7.40109E+12,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
86,,,,TRATAMIENTO SOS GRANOS,YVES ROCHER TRATAMIENTO SOS GRANOS PURIFICA Y ACLARA LA PIEL. REDUCE LOS GRANOS Y EL ENROJECIMIENTO. 1ML GEL CAJA 10ML,PURIFICA Y ACLARA LA PIEL. REDUCE LOS GRANOS Y EL ENROJECIMIENTO.,,1,,,10ML,,,2030-04-30,PT-129370,3.66001E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
87,,,,SENSYLIA SERUM URBAN PROTECT 30ML,SENSYLIA SERUM URBAN PROTECT 30ML SERUM CONCENTRADO DE HIDRATACIÓN INTENSA Y PROFUNDA CON ESCUDO ANTI CONTAMINACION 30ML CREMA FACIAL FRASCO,Serum concentrado de hidratación intensa y profunda con escudo anti contaminacion,,30,,,,,,2030-08-14,PT-131795,3.76027E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,
88,,,,Nivea Tono Natural Miracle Sweet,BDF NIVEA TONO NATURAL MIRACLE SWEET ANTITRANSPIRANTE 150ML SOLUCION SPRAY BOTE,Antitranspirante,,150,,,,,,2030-08-22,PT-131954,4.006E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,
89,,,,AGE LIFT SER INTENSIF LISS FERM FP,URIAGE AGE LIFT SER INTENSIF LISS FERM FP SERUM REAFIRMANTE ANTIARRUGAS 30ML CREMA FACIAL CAJA 1,SERUM REAFIRMANTE ANTIARRUGAS,,30,,,1,,,2030-05-27,PT-129747,3.66143E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
90,,,,CERAVE REFILL GEL LIMP 473 ML,CERAVE REFILL GEL LIMP 473 ML GEL ESPUMOSA LIMPIADORA 1ML GEL BOLSA,GEL ESPUMOSA LIMPIADORA,,1,,,,,,2028-07-10,118319,3.33788E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
91,,,,GEL FIJADOR SUPER FIX ORGANICO,SUPER FIX GEL FIJADOR SUPER FIX ORGANICO EXTRACTOS DE ALO EVERA+LINAZA Y MANZANILLA 1G GEL BOTE 230,EXTRACTOS DE ALO EVERA+LINAZA Y MANZANILLA,,1,,,230,,,2028-08-07,PT-118780,7.50302E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,
92,,,,ALMOHADILLA DE MANO PAR ,ANDRES CASTILLO/RENTA MEDICA ALMOHADILLA DE MANO PAR  ALMOHADILLA DE MANO PAR  1 BARRA BOLSA,PARA UNO EN MULETAS ,,1,,,,,,2025-09-10,PF-123456,8.48525E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,,
93,,,,MEDRIX DÚO ,LAFAGE  MEDRIX DÚO  TRATAMIENTO CON MAYOR INTENSIDAD PARA QUIENES TIENEN EL COLESTEROL LDH ALTO 30G TABLETA RECUBIERTA CAJA,TRATAMIENTO CON MAYOR INTENSIDAD PARA QUIENES TIENEN EL COLESTEROL LDH ALTO,,30,,,,,,2030-04-22,66754,7 401156 655213,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,
94,,,,KETOTIFENO MK + DOSF,KETOTIFENO MK + DOSF 100ML JARABE FRASCO (POR FAVOR TENER EN CUENTA QUE ES UN CAMBIO DE PRESENTACIÓN. NO ES PRODUCTO NUEVO.  EL CÓDIGO ACTUAL EN BOFASA ES P000296 POR FAVOR MANTENERLO. MUCHAS GRACIAS. ),,,100,,,,,Por favor tener en cuenta que es un cambio de presentación. No es producto nuevo.  El código actual en BOFASA es P000296 por favor mantenerlo. Muchas gracias. ,2025-09-23,PF-65029,7.70206E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
95,,,,VALSARTAN + AMLODIPINO 160MG/10MG CAJA X 30 TAB,VALSARTAN + AMLODIPINO 160MG/10MG CAJA X 30 TAB 30UNIDAD TABLETA CAJA,,,30,,,,,,2028-09-04,PF-63848,7.70206E+12,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
96,,,,ATOPREL EMOLLIENT CLASSIC FREZYDERM,FREZYDERM (GRECIA) ATOPREL EMOLLIENT CLASSIC FREZYDERM 1ML CREMA FRASCO,,,1,,,,,,2030-02-13,PT-127936,5.20289E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
97,,,,CICA CREMA DE MANOS,URIAGE CICA CREMA DE MANOS CREMA DE MANOS 50ML CREMA CAJA 1,CREMA DE MANOS,,50,,,1,,,2025-09-06,PT-130015,3.66143E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
98,,,,HYSEAC MAT T,URIAGE  HYSEAC MAT T TRATAMIENTO MATIFICANTE HIDRATANTE Y ASTRINGENTE QUE REDUCE POROS Y ALISA LA PIEL  40ML CREMA FACIAL CAJA 1,TRATAMIENTO MATIFICANTE HIDRATANTE Y ASTRINGENTE QUE REDUCE POROS Y ALISA LA PIEL ,,40,,,1,,,2030-06-06,PT-130035,3.66143E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
99,,,,Iberoflora Adultos,IBEROFLORA ADULTOS PROBIOTICO BAYER 10 CAPSULA CAJA,PROBIOTICO BAYER,,10,,,,,,2029-08-09,PFD-65674,7.70212E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,
100,,,,ETORICOXIB MK 60 MG CAJA X 14 TAB,ETORICOXIB MK 60 MG CAJA X 14 TAB 14UNIDAD TABLETA CAJA,,,14,,,,,,2026-01-07,PF-58866,7.70206E+12,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
101,,,,ARCOR ALKA ICE STONG,ALZA ARCOR ALKA ICE STONG 100X 370G OTROS (RUTEO) BOLSA,100X,,370,,,,,,2028-05-04,A-97100,7.50044E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
102,,,,KALEIDON ULTRA,KALEIDON ULTRA INDICADO COMO TRATAMIENTO COADYUVANTE Y PREVENTIVO EN EL DESBALANCE DE LA FLORA INTESTINAL MODULANDO LA RESPUESTA INMUNE ANTE INFECCIONES Y MEJORANDO LA ABSORCIÓN DE NUTRIENTES 20 CAPSULA CAJA,Indicado como tratamiento coadyuvante y preventivo en el desbalance de la flora intestinal modulando la respuesta inmune ante infecciones y mejorando la absorción de nutrientes,,20,,,,,,2028-02-06,PF-62676-2023,7.40605E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
103,,,,AGEFEN FEM 400MG,AGEFEN FEM 400MG SOBRE BEBIBLE POR 10 ML DE IBUPROFENO 400MG 100ML SOBRE BEB DISPENSADOR 10 ML (3+2),SOBRE BEBIBLE POR 10 ML DE IBUPROFENO 400MG,,100,,,10 ml,,3+2,2026-04-20,PF 59322-2021,7.40111E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
104,,,,RIFDEL 550 MG,RIFDEL 550 MG CAJA X 28 TABLETAS RECUBIERTAS 28 TABLETA RECUBIERTA CAJA 28 TABLETAS,CAJA X 28 TABLETAS RECUBIERTAS,,28,,,28 TABLETAS,,,2028-11-16,PF-55435 - 2023,7.40636E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
105,,,,SLEEP GUMMYUHUGS,SLEEP GUMMYUHUGS GOMAS FORTALECE LOS NERVIOS AYUDA A CONCILIAR EL SUEÑO  Y ALIVA EL STRESS 1 GOMITAS BOTE,GOMAS FORTALECE LOS NERVIOS AYUDA A CONCILIAR EL SUEÑO  Y ALIVA EL STRESS,,1,,,,,,2029-05-15,PFD-65268,8.90422E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
106,,,,SPEDRA,SPEDRA SPEDRA ES UN TRATAMIENTO PARA VARONES ADULTOS QUE PADECEN DISFUNCIÓN ERÉCTIL (TAMBIÉN CONOCIDA COMO IMPOTENCIA). 100ML COMPRIMIDO CAJA,Spedra es un tratamiento para varones adultos que padecen disfunción eréctil (también conocida como impotencia).,,100,,,,,,2029-09-09,PF-65853-2024,7.40605E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
107,,,,GASA DELTA 1 YD X 1 YD,HOSPI GASA DELTA 1 YD X 1 YD GASA EN ROLLO  1UNIDAD MEMBRANA CAJA 1 YARDA X 1 YARDA,Gasa en Rollo ,,1,,,1 yarda X 1 yarda,,,2030-08-12,PMQ-7070,7.40107E+12,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
108,,,,Prudence Lub Grosella,PRUDENCE LUB GROSELLA SABOR Y AROMA GROSELLA 75ML GEL BOTE 75 ML,Sabor y aroma Grosella,,75,,,75 ml,,,2026-05-03,PMQ-18504,7.50221E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
109,,,,Algas,ALGAS MEZCLA DE ALGAS SABOR LIMÓN. COMPRIMIDOS.  1 COMPRIMIDO BOTE,Mezcla de Algas sabor limón. Comprimidos. ,,1,,,,,,2030-03-20,PFD-66614-2025,8.436E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,
110,,,,PANTOGAR,PANTOGAR .280G CAPLET CAJA,,,280,,,,,,2026-09-16,PFD-26540-2021,4.04622E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
111,,,,Nutri Listo etapa 1 ,"NUTRI LISTO ETAPA 1  SUPLEMENTO ALIMENTICIO DESARROLLADO POR EL INCAP PARA TRATAR Y PREVENIR LA DESNUTRICION, LISTO PARA CONSUMIR. 14G PASTA SACHET","Suplemento alimenticio desarrollado por el INCAP para tratar y prevenir la desnutricion, listo para consumir.",,14,,,,,,2030-03-19,B 36836,7.56956E+11,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
112,,,,SENSIBIO H2O 250ML + SENSIBIO H2O 100ML,SENSIBIO H2O 250ML + SENSIBIO H2O 100ML PACK AGUA MICELAR QUE LIMPIA Y DESMAQUILLA RESPETANDO LA FRAGILIDAD DE LAS PIELES SENSIBLES. DESCONGESTIONA LA PIEL IRRITADA. APORTA UNA SENSACIÓN DE FRESCURA INMEDIATO. 2ML LIQUIDO BOTE 250ML-100ML,Pack Agua micelar que limpia y desmaquilla respetando la fragilidad de las pieles sensibles. Descongestiona la piel irritada. Aporta una sensación de frescura inmediato.,,2,,,250ml-100ml,,,2026-08-09,PT78819,6.77144E+11,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
113,,,,COLLARIN SUAVE TALLA L,COLLARIN SUAVE TALLA L COLLARIN SUAVE TALLA L 2.25 1G OTROS (RUTEO) BOLSA TALLA L (BONO 7.00),COLLARIN SUAVE TALLA L,,1,,,TALLA L,2.25,BONO 7.00,2030-01-01,PMQ-18975,515-00200904,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
114,,,,Tercef,TERCEF CAJA CON 1 FRASCO DE VIDRIO CON 100ML + JERINGA DOSIFICADORA 1ML POLVO SUSPENSION FRASCO FRASCO 100ML  (PRESCRIPCIÓN MEDICA ),caja con 1 frasco de vidrio con 100ml + jeringa dosificadora,,1,,,frasco 100ml ,,Prescripción Medica ,2029-10-29,PF-66026-2024,7 891317 044589,,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,
115,,,,AC-NORM MEDILIKE EFFECT TYPE 1 FREZYDERM,FREZYDERM (GRECIA) AC-NORM MEDILIKE EFFECT TYPE 1 FREZYDERM 1ML CREMA FACIAL CAJA,,,1,,,,,,2030-02-13,PT-127937,5.20289E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
116,,,,UROCRAM (BLUEBERRY+VITAMINA C) * 30 CÁPSULAS,UROCRAM (BLUEBERRY+VITAMINA C) * 30 CÁPSULAS 30 CAPSULA CAJA,,,30,,,,,,2030-06-10,66947,2.35074E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
117,,,,NUTRIGEL COMPLEX NARANJA CJAX30UN,NUTRIGEL COMPLEX NARANJA CJAX30UN SOBRES DE POLVO PARA SOLUCIÓN ORAL  15G SOBRE POLVO CAJA,Sobres de polvo para solución oral ,,15,,,,,,2026-09-24,PF-60080-2021,7.70315E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
118,,,,Magnesium Noche,"MAGNESIUM NOCHE 200MG CITRATO DE MAGNESIO
100MG BISGLICINATO DE MAGNESIO
100MG L-CARNITINA 30G CAPSULA CAJA 30 CAPSULAS (2+1 EN CUPONES )","200mg Citrato de Magnesio
100mg Bisglicinato de magnesio
100mg L-Carnitina",,30,,,30 CAPSULAS,,2+1 en cupones ,2029-07-15,B-45556,7.40116E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,
119,,,,COLLARIN SUAVE COLOR GRIS TALLA S,HOSPI COLLARIN SUAVE COLOR GRIS TALLA S COLLARIN SUAVE COLOR GRIS TALLA S 2.5  CM 1UNIDAD OTROS (RUTEO) BOLSA TALLA S (BONO 7.00),COLLARIN SUAVE COLOR GRIS TALLA S,,1,,,TALLA S,2.5  CM,BONO 7.00,2030-01-30,PMQ-18975,515-00200902,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
120,,,,ADESTA 80 MG,ADESTA 80 MG FEBUXOSTAT  30 TABLETA CAJA,FEBUXOSTAT ,,30,,,,,,2029-08-28,23386,19006602606,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
121,,,,POLVO JB DERMO PROTECT BEDTIME 200 GRAMOS,"POLVO JB DERMO PROTECT BEDTIME 200 GRAMOS ES DERMATOLÓGICAMENTE PROBADO, TIENE SUAVIDAD CLÍNICAMENTE PROBADA Y ES LIBRE DE COLORANTES, PARABENOS Y FTALATOS. 1G POLVO BOTE 200","Es dermatológicamente probado, tiene suavidad clínicamente probada y es libre de colorantes, parabenos y ftalatos.",,1,,,200,,,2028-01-13,PT-115651,7.70203E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,
122,,,,Prudence Lub Grosella,PRUDENCE LUB GROSELLA SABOR GROSELLA 30ML GEL BOTE 30,Sabor Grosella,,30,,,30,,,2029-05-03,PMQ-18504,7.50221E+12,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
123,,,,LINADALT 5MG,LINADALT 5MG TRATAMIENTO DIABETES MELITUS 2 30UNIDAD COMPRIMIDO RECUBIERTO BLISTER 30,Tratamiento diabetes melitus 2,,30,,,30,,,2029-07-19,PF-65529-2024,7.40108E+12,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
124,,,, ATLIPOS 40 MG,ATLIPOS 40 MG TABLETA RECUBIERTA  CARDIOMETABOLICA COLESTEROL 1 TABLETA CAJA,TABLETA RECUBIERTA  CARDIOMETABOLICA COLESTEROL,,1,,,,,,2029-05-17,PF 65288,8.90416E+12,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
125,,,,Leponex ,HOSPI LEPONEX  25 MG 50 TABLETA CAJA,25 MG,,50,,,,,,2027-12-07,PF-62378-2022,8.90418E+12,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
